337 5470
116 83 374
158 181 915
161 52 995
146 78 914
224 176 382
244 205 542
270 205 603
7 9 900
125 191 978
3 29 345
148 178 527
289 157 387
337 243 436
157 331 809
247 282 21
215 164 889
331 57 829
123 196 251
232 314 188
155 64 724
261 243 244
23 59 771
185 116 1001
303 300 973
184 333 315
43 188 431
334 101 979
33 277 475
19 257 949
56 331 766
189 184 330
108 109 1012
187 301 869
75 157 376
181 129 422
327 334 644
223 124 208
4 133 98
252 49 8
12 257 522
189 66 21
46 183 964
153 75 684
317 211 176
305 128 167
200 269 606
131 269 536
305 125 310
262 318 979
27 280 930
126 60 483
235 196 717
318 37 95
153 278 394
59 137 234
211 307 4
133 77 917
169 19 221
298 275 807
218 23 57
178 72 241
10 53 714
190 61 958
256 221 763
9 132 493
279 192 205
188 54 1015
198 234 685
61 53 430
197 23 325
227 26 955
157 266 787
39 264 601
322 134 78
306 245 593
10 113 494
94 252 553
142 307 818
222 315 385
179 13 207
226 171 17
117 64 127
10 223 47
87 136 918
9 32 456
235 255 55
89 27 131
271 42 443
112 262 161
49 26 191
273 115 715
37 168 607
190 164 312
327 213 316
216 289 808
112 214 542
9 201 978
28 145 920
23 56 495
333 262 366
217 189 415
203 192 606
145 287 194
230 9 509
209 125 958
293 147 827
35 272 338
278 323 589
242 303 1001
52 193 500
108 111 778
101 85 841
202 169 169
236 115 401
243 287 361
113 45 500
105 321 1004
255 297 604
77 227 837
189 264 795
180 260 961
223 162 647
255 331 497
203 268 704
299 334 705
279 2 259
163 302 642
323 37 221
227 302 386
286 162 604
72 75 178
140 178 525
112 314 437
81 96 748
159 185 782
311 172 289
87 118 665
132 308 125
32 177 718
198 212 162
50 114 296
234 47 540
158 172 1010
46 306 820
106 267 661
244 247 871
243 160 738
204 164 877
45 108 391
336 79 973
253 197 532
184 219 679
210 10 767
224 247 415
269 165 198
110 62 376
171 214 392
173 266 949
309 12 222
323 290 840
139 81 728
231 203 11
320 71 589
215 16 341
273 324 552
247 143 724
58 228 964
226 173 167
141 296 971
141 33 907
106 252 894
3 153 944
83 5 103
209 46 643
51 80 531
66 316 902
33 175 180
244 169 571
306 56 361
265 133 81
108 173 351
252 179 655
116 63 428
252 88 130
15 226 45
182 138 833
288 254 132
218 337 725
187 23 581
298 152 345
305 237 518
299 288 495
326 229 672
292 302 921
54 106 3
113 133 313
202 235 801
255 74 800
214 219 517
113 192 850
170 20 373
24 295 781
291 79 287
213 185 840
16 62 169
336 146 200
305 14 944
162 47 291
271 39 288
9 63 728
5 228 511
301 295 558
121 196 930
270 20 839
145 259 457
56 102 933
90 151 674
268 61 287
317 19 1011
45 294 749
138 243 738
124 324 931
291 264 170
69 130 1018
171 16 552
68 115 774
253 109 221
64 4 410
12 247 948
81 100 224
175 224 73
262 46 961
101 223 515
66 97 945
230 52 24
130 90 134
116 303 95
202 212 387
258 288 356
294 7 539
300 99 447
316 172 348
165 336 805
129 64 176
330 188 847
250 294 39
4 89 382
67 189 292
65 238 657
294 144 219
35 257 642
104 138 226
88 286 42
337 109 384
278 154 351
138 42 451
311 96 1008
182 22 847
219 29 706
113 292 239
69 242 25
275 236 489
267 117 774
235 103 133
264 117 658
8 191 43
320 160 622
329 26 67
53 62 139
259 131 41
130 188 452
178 117 271
218 124 405
139 305 372
311 80 190
178 33 107
285 261 100
57 247 461
198 82 930
204 191 632
180 223 878
221 108 901
148 215 190
91 17 680
10 240 823
328 79 7
126 197 633
300 320 645
229 137 574
45 107 793
10 88 668
330 241 172
169 231 283
191 18 561
39 183 691
174 170 51
208 78 963
322 254 677
156 157 153
94 237 372
108 233 709
86 291 95
240 69 513
162 136 145
44 117 991
135 231 378
276 15 348
270 156 717
96 185 907
329 107 477
238 236 701
130 188 109
105 309 1022
296 41 829
233 295 25
245 114 620
14 27 145
303 176 703
170 308 197
19 90 227
56 27 540
245 157 674
113 56 5
263 224 242
115 2 291
2 319 836
45 236 44
12 328 793
59 225 288
227 217 117
134 319 382
121 203 953
208 116 516
157 214 29
215 199 685
88 284 894
131 124 218
154 309 782
96 164 697
103 213 780
146 196 953
32 214 686
41 63 437
265 48 274
16 33 986
297 112 632
18 241 636
162 272 892
264 250 465
201 288 927
17 163 951
280 104 7
137 10 71
78 229 530
267 302 295
8 178 355
247 46 753
52 330 857
178 10 826
217 70 956
29 142 919
302 321 646
140 14 450
327 212 100
325 5 651
27 217 506
20 245 107
13 308 383
105 120 788
241 166 252
8 68 614
64 15 401
321 184 463
122 93 634
11 65 160
218 142 798
124 299 794
277 193 110
324 170 68
138 154 48
115 69 275
1 266 643
327 134 981
114 216 273
306 113 595
139 328 555
153 314 74
133 252 1007
181 111 434
184 131 633
12 148 197
252 223 19
264 28 496
173 34 943
221 204 861
124 153 773
256 257 638
163 176 681
49 238 767
181 22 966
314 337 498
179 256 990
204 250 692
230 82 978
145 263 181
239 183 956
53 112 310
19 288 36
106 80 612
225 180 89
325 273 106
310 119 916
38 175 897
300 140 62
30 32 546
199 117 907
280 48 289
194 3 841
206 327 199
260 81 320
193 77 920
174 65 870
162 336 808
282 130 8
297 126 755
120 47 2
88 237 676
161 50 726
296 9 334
303 161 836
88 272 101
179 215 241
194 94 416
238 108 592
2 2 496
179 21 190
136 116 472
249 69 800
69 61 416
34 233 323
270 95 523
283 28 864
93 94 744
282 288 844
99 336 155
335 80 261
322 326 9
217 73 441
230 270 342
332 103 771
126 102 480
203 283 770
174 205 321
186 181 219
121 318 757
237 255 856
321 249 109
168 30 495
217 145 765
176 29 642
160 3 871
14 13 508
171 334 292
187 207 184
236 165 285
148 211 531
59 184 377
35 50 810
296 218 448
317 20 644
189 316 512
99 147 362
84 4 206
292 186 592
11 335 41
140 137 274
178 186 1001
264 223 794
25 252 901
266 7 648
207 204 233
289 60 235
202 301 414
130 314 419
107 322 5
223 105 174
245 215 772
169 113 470
295 173 854
286 119 455
241 326 506
166 292 660
121 31 743
103 196 213
296 234 139
6 328 721
329 153 688
204 286 815
100 94 166
291 33 575
315 101 623
276 327 307
116 229 984
6 85 73
52 74 464
200 58 473
177 180 300
227 276 880
113 131 1011
128 278 58
146 231 288
125 196 914
314 136 147
222 68 497
131 55 412
215 162 485
51 303 761
162 308 198
45 167 786
52 303 825
182 44 131
33 314 422
272 130 970
200 268 275
81 119 908
3 271 968
292 109 529
199 289 132
229 124 339
150 325 825
106 202 311
311 64 566
132 327 766
288 51 234
251 11 910
325 300 36
243 307 691
232 71 99
146 85 431
325 151 195
118 262 435
314 250 565
235 335 463
220 47 914
233 185 414
157 208 639
331 15 487
45 323 975
39 135 848
286 321 65
120 97 763
248 210 277
90 214 543
213 299 331
142 242 717
235 273 304
58 301 12
106 82 166
98 99 794
81 199 844
327 225 311
92 152 202
5 5 826
333 60 380
151 48 71
335 93 448
180 61 669
126 286 992
3 95 664
169 170 577
262 126 349
229 103 510
313 299 399
110 327 755
17 229 1023
313 248 771
267 28 820
285 144 585
51 319 955
334 201 669
268 75 224
326 87 178
58 120 373
5 102 471
271 314 767
285 33 830
281 266 831
326 225 864
62 334 158
151 145 186
202 229 120
181 171 682
171 10 586
224 143 789
193 264 629
281 205 42
19 104 965
154 265 675
13 110 922
198 254 400
29 5 471
280 213 580
326 329 39
68 87 865
281 289 191
236 297 36
129 270 322
72 117 788
43 154 123
249 76 551
221 49 218
241 333 955
136 24 913
78 61 797
69 261 390
125 297 200
331 201 24
104 171 332
312 295 896
153 89 710
286 41 446
23 112 117
124 127 739
141 55 180
77 236 938
257 301 257
55 307 53
84 245 481
238 322 75
187 149 944
302 205 784
122 326 894
212 46 714
152 44 364
48 39 447
291 323 580
294 301 807
228 250 948
220 160 680
193 314 618
225 114 919
184 1 62
207 64 488
265 310 157
278 68 184
213 43 478
21 307 645
75 254 181
222 39 875
64 259 731
77 214 20
289 53 351
21 173 396
87 158 807
201 247 622
294 269 491
190 12 276
79 306 550
296 301 654
59 207 891
115 140 744
234 88 539
315 303 365
325 276 160
7 215 736
133 278 640
193 141 789
94 103 919
89 134 201
72 160 739
308 130 996
155 195 481
188 291 1023
113 51 369
92 112 286
301 20 803
1 217 61
61 318 477
265 72 713
123 63 859
219 274 230
120 295 135
11 132 733
72 335 913
192 228 30
207 332 726
72 106 342
63 78 329
25 31 555
43 255 408
41 146 622
171 244 395
173 203 1021
254 75 854
284 116 170
249 313 115
248 184 20
152 315 309
49 276 744
232 203 405
262 167 138
316 190 558
137 212 308
64 283 682
31 301 577
118 11 456
256 34 587
163 78 995
46 142 430
211 307 264
33 133 1019
73 321 642
254 151 62
118 291 897
122 37 892
242 170 743
328 8 477
320 330 619
150 177 983
196 295 669
176 333 77
277 295 889
28 169 441
75 274 442
280 316 29
66 184 37
117 282 268
206 316 449
181 273 705
71 328 125
153 324 598
310 286 793
43 111 446
165 188 998
230 223 362
156 78 845
18 174 28
319 229 817
271 167 405
317 151 1022
100 191 768
269 73 784
18 305 281
137 287 777
29 227 855
62 29 284
247 77 49
176 288 702
103 9 823
270 55 235
80 196 130
61 113 374
208 179 890
55 3 735
292 74 469
290 181 906
269 3 393
214 270 939
137 15 805
258 144 595
323 68 799
327 74 142
279 219 328
57 108 165
168 234 240
157 145 504
33 50 977
14 277 904
76 170 90
94 56 634
16 83 946
173 309 494
112 280 853
85 40 518
146 222 484
185 240 119
251 116 773
293 271 107
97 181 400
90 161 613
16 107 145
18 68 380
84 48 573
95 249 1
219 240 1009
169 230 467
100 298 48
320 141 287
227 267 401
193 159 94
82 77 23
158 22 709
284 278 926
325 124 770
306 217 1023
146 256 492
231 97 782
230 204 974
301 248 950
73 163 200
49 174 806
305 124 350
330 97 822
300 221 90
89 181 723
93 323 889
311 57 633
138 28 549
262 275 726
298 39 699
70 209 267
116 229 56
331 46 646
149 47 184
203 127 738
311 146 483
149 210 776
145 31 963
82 36 229
120 181 905
276 323 195
149 91 673
117 148 301
290 292 845
117 117 1007
50 59 982
256 134 399
226 15 910
298 88 1015
328 189 982
195 274 299
236 89 569
284 131 578
64 212 797
234 270 925
52 127 177
122 126 626
245 101 677
306 161 929
41 168 679
335 245 245
156 58 607
72 93 813
261 265 56
330 250 53
82 20 833
1 179 66
254 138 122
71 260 327
198 83 412
302 220 181
294 144 302
200 310 339
156 11 392
8 273 772
280 25 673
32 311 936
294 53 883
139 72 523
2 243 563
225 117 271
291 230 579
181 29 1015
174 271 475
273 163 873
239 166 353
158 57 340
281 254 769
40 111 882
56 176 983
227 175 20
52 134 1008
124 98 630
286 116 638
177 209 426
223 69 997
21 264 518
112 265 922
193 69 229
15 307 864
261 119 466
65 52 593
309 78 618
25 282 211
302 242 165
276 186 373
141 95 780
111 6 718
192 300 863
104 177 803
144 59 292
208 69 332
160 155 91
310 176 865
186 77 60
74 84 396
158 132 420
40 307 382
225 244 626
224 330 20
208 234 274
131 255 826
13 301 2
334 303 410
64 93 316
175 246 429
269 93 98
289 96 82
16 251 182
312 72 880
112 264 89
114 58 540
243 146 71
22 120 646
256 14 124
237 262 27
216 328 728
52 210 745
253 267 584
273 197 211
32 38 661
75 156 584
196 79 445
112 210 665
299 136 929
126 254 329
195 211 535
92 246 826
8 269 321
54 81 931
34 114 1
167 98 370
45 184 387
273 132 115
209 98 783
129 319 367
289 318 3
114 96 515
100 107 401
53 138 612
200 220 861
183 113 547
130 103 531
57 284 108
335 4 451
295 227 491
265 206 563
88 121 574
32 197 542
28 239 564
180 194 782
1 233 427
175 254 151
11 243 855
159 180 735
69 59 7
135 14 673
161 320 361
90 26 278
72 321 182
143 105 992
312 248 185
151 139 469
51 120 244
18 38 152
136 113 714
335 278 665
95 117 957
159 129 990
149 228 283
95 230 626
332 234 30
62 292 53
271 214 791
176 74 1012
211 268 333
110 208 16
230 318 832
208 111 73
235 261 699
326 234 533
169 210 177
294 204 707
64 181 960
239 209 595
285 138 62
240 117 825
110 106 718
17 186 754
207 73 629
46 226 662
239 135 882
202 171 714
234 19 845
96 100 379
169 172 196
105 223 474
84 38 943
228 235 216
231 318 527
25 5 137
40 132 113
72 268 357
285 68 374
279 50 758
250 190 883
46 289 798
281 196 655
150 70 369
216 179 937
149 70 575
225 6 231
24 222 776
257 10 156
21 224 893
302 314 917
28 41 289
198 33 795
225 25 981
282 337 898
125 149 738
211 196 186
287 271 43
110 300 975
273 311 165
324 7 258
290 182 34
81 282 574
132 233 842
115 169 793
45 160 771
139 254 852
161 312 458
329 279 789
138 317 694
244 220 688
231 68 794
301 40 808
289 238 458
225 322 751
217 157 109
50 110 573
13 87 101
113 327 698
307 324 856
122 2 206
224 312 664
236 282 466
192 204 907
82 305 623
141 273 856
186 218 1015
71 109 467
101 15 463
243 332 561
53 111 616
238 47 644
327 258 660
168 99 916
330 282 390
259 284 725
151 193 781
321 19 57
103 130 207
61 13 592
155 1 630
184 89 163
250 284 255
321 198 854
258 25 219
175 40 908
58 213 496
229 7 418
96 197 634
171 181 675
230 17 22
174 113 74
218 249 979
64 60 143
41 251 837
104 228 369
208 88 290
93 219 24
122 311 1014
56 8 699
37 199 977
322 162 306
89 60 972
13 201 431
86 75 224
144 298 713
113 1 692
252 144 534
77 143 849
26 148 807
128 306 28
132 89 155
217 13 874
101 88 12
55 53 760
169 40 1019
204 295 782
175 145 647
101 126 752
273 23 14
58 134 441
297 128 411
217 236 202
286 73 603
78 106 126
245 227 302
301 99 748
234 189 135
61 86 213
202 247 94
80 69 315
1 30 742
95 274 106
58 138 925
151 196 29
33 312 717
159 170 801
293 7 894
7 145 399
30 287 864
200 68 296
325 72 955
306 234 703
188 313 386
277 122 461
54 94 388
220 66 951
151 82 102
41 159 921
138 104 166
196 317 797
56 181 310
280 181 565
251 126 898
279 246 235
129 2 864
178 223 729
220 294 431
13 95 612
53 153 407
197 119 426
226 223 192
91 45 685
241 189 389
103 209 184
173 301 452
104 299 51
52 84 926
62 234 81
187 182 1019
129 55 685
223 244 324
64 62 489
238 160 407
311 32 196
69 298 33
239 241 960
281 64 1005
108 223 765
85 70 251
122 124 275
317 40 1017
313 202 423
46 26 212
135 299 599
148 19 13
249 231 90
313 143 313
62 272 52
243 331 554
116 121 274
293 73 250
214 55 67
96 24 248
132 158 372
85 294 26
205 176 239
205 171 938
84 305 575
64 84 608
130 190 896
15 270 587
114 176 426
225 79 765
287 269 263
150 319 823
326 198 6
187 264 495
238 189 610
180 148 726
160 182 941
264 297 700
307 277 555
179 186 65
307 47 952
74 250 510
211 317 994
172 62 56
317 237 359
127 249 636
123 109 964
17 251 241
162 67 894
303 39 119
290 142 403
207 203 403
101 227 245
212 269 725
28 43 482
103 57 53
68 36 863
96 323 711
245 292 756
120 1 107
109 301 204
180 236 109
10 43 819
153 104 235
296 244 727
331 236 590
140 171 676
318 156 568
125 136 542
286 284 746
148 2 210
328 308 874
282 304 154
294 3 445
52 67 455
227 75 714
68 136 489
119 78 553
53 321 756
324 283 488
11 31 16
52 249 940
20 12 164
97 114 330
157 290 461
77 106 961
280 193 878
43 45 974
298 194 963
137 236 887
161 85 950
89 20 359
216 53 458
205 100 358
162 43 130
252 177 961
52 127 204
217 194 610
188 29 89
54 56 868
95 27 64
140 134 351
169 70 990
45 299 860
109 183 951
137 266 974
293 245 129
317 254 791
206 226 294
119 47 720
114 252 658
68 291 846
182 255 315
235 273 151
34 124 205
1 193 399
210 214 842
162 329 205
168 221 388
204 116 386
174 314 35
277 293 859
146 337 135
184 288 779
228 209 695
257 281 309
329 321 133
111 186 419
35 147 625
265 91 987
278 143 747
71 138 686
224 149 628
95 90 889
135 84 13
251 80 8
311 295 884
184 188 375
25 274 423
120 275 526
279 11 131
115 127 274
306 92 157
312 30 127
59 328 600
172 163 1018
134 239 132
227 5 766
320 215 872
99 336 949
234 97 751
219 223 794
153 317 853
222 89 135
27 326 472
60 222 607
79 213 210
108 56 258
84 187 387
157 246 1002
55 118 150
285 166 296
81 158 474
222 119 920
18 36 768
200 248 806
12 193 355
122 321 110
283 215 117
203 223 500
88 105 887
95 220 121
117 259 410
88 289 254
178 268 536
193 297 836
312 253 174
141 12 978
35 53 83
191 215 489
208 318 1000
89 77 688
105 51 331
157 93 538
82 49 99
208 76 859
184 330 503
